Dataset,Tópico,Palavras
Geral,1,"vacina, tomar, dose, saúde, único, sus, butantan, governo, nacional, covid, Brasil, Lula, criança, vacinar, 100"
Geral,2,"aede, cidade, emergência, água, dengar, saúde, situação, doença, decretar, Paulo, pessoa, repelente, usar, surto, parar"
Geral,3,"morte, 2025, saúde, aede, registrar, confirmar, Brasil, notícia, combate, doença, posted, ação, dengar, intar, óbito"
Geral,4,"dengar, doença, casa, passar, aede, armadilha, criadouro, mau, matar, água, prefeitura, covid, de, suspeita, preto"
Geral,5,"melhora, achar, dor, dengar, passar, pegar, tar, morrer, de, peguei, aede, hoje, corpo, semana, esperar"
1_Crescimento,1,"dengar, passar, aede, água, casa, febre, tomar, morrer, doença, dor, pessoa, achar, covid, hoje, tar"
1_Crescimento,2,"vacina, tomar, de, dengar, covid, achar, armadilha, faixa, prefeito, dose, melhora, repelente, governo, posto, vacinar"
1_Crescimento,3,"saúde, vacina, morte, 2025, Brasil, dengar, notícia, dose, governo, registrar, posted, nacional, emergência, combate, Paulo"
2_Pico_e_Queda,1,"dor, vacina, dengar, corpo, tomar, saúde, água, parar, cidade, pessoa, cabeça, achar, alegre, sintoma, doença"
2_Pico_e_Queda,2,"melhora, aede, covid, Brasil, notícia, saúde, gripe, 2025, morte, posted, amg, dengar, tomar, doença, vacina"
2_Pico_e_Queda,3,"confirmar, morte, passar, 2025, presidente, óbito, prudente, hoje, registrar, dengar, bom, mãe, Deus, hora, vacina"
2_Pico_e_Queda,4,"dengar, achar, de, aede, pegar, semana, tar, doença, passar, peguei, ele, esperar, repelente, hoje, febre"
3_Baixa,1,"aede, saúde, combate, prefeitura, ação, doença, realizar, prevenção, combater, Brasil, risco, dengar, sábado, wolbachia, foco"
3_Baixa,2,"dor, passar, achar, melhora, água, covid, de, hoje, vacina, dar, tomar, corpo, casa, pegar, morrer"
3_Baixa,3,"morte, 2025, doença, registrar, confirmar, saúde, alto, dengar, Brasil, gripe, febre, sul, pressão, mato, grosso"
3_Baixa,4,"dengar, vacina, tar, tomar, esperar, melhora, picar, achar, Deus, amiga, butantan, covid, sus, dose, cuidar"
4_Anomalia,1,"tomar, vacina, achar, pessoa, vida, de, dengar, calor, morrer, covid, febre, hoje, mau, ressaca, conseguir"
4_Anomalia,2,"combate, aede, doença, ação, prefeitura, dengar, saúde, Brasil, risco, wolbachia, foco, viver, bairro, bom, reforçar"
4_Anomalia,3,"aede, brasileiro, saúde, 2025, ciência, cientista, nature, vigilância, dengar, transmitir, mina, lista, público, entrar, prefeitura"
4_Anomalia,4,"vacina, dose, butantan, único, Brasil, aprovar, sus, anvisa, saúde, milhão, nacional, notícia, imunizante, mundo, instituto"
